objid,ra,dec,u,g,r,i,z,specobjid,redshift,ptype,sclass
1.24E+18,195.0464073,28.06524648,19.28296,17.69565,16.98452,16.62393,16.37693,2.52E+18,0.02454435,GALAXY,GALAXY
1.24E+18,195.0568108,27.86717683,18.51865,16.85977,16.13733,15.77353,15.54597,2.52E+18,0.02468401,GALAXY,GALAXY
1.24E+18,194.8816672,28.10053729,23.04523,18.35041,17.60965,17.348,17.95424,2.52E+18,0.02477923,GALAXY,GALAXY
1.24E+18,195.0363596,28.15985444,18.08786,16.21673,15.49222,15.09995,14.8491,2.52E+18,0.0248898,GALAXY,GALAXY
1.24E+18,194.71175,28.00699354,20.11511,18.50638,17.81535,17.45576,17.21736,2.52E+18,0.02490416,GALAXY,GALAXY
1.24E+18,194.9644207,28.07348075,18.88881,17.09958,16.33121,15.96352,15.69099,2.52E+18,0.02498956,GALAXY,GALAXY
1.24E+18,195.1656714,27.9239338,16.64083,14.76894,14.01345,13.58688,13.2884,2.52E+18,0.02501526,GALAXY,GALAXY
1.24E+18,195.0535973,28.07549608,17.54206,15.71611,14.94707,14.54585,14.26242,2.52E+18,0.02503316,GALAXY,GALAXY
1.24E+18,194.7330846,27.8333724,16.20967,14.84674,14.15626,13.76769,13.44168,2.52E+18,0.02510278,GALAXY,GALAXY
1.24E+18,194.9795469,28.1283565,17.67762,15.85575,15.06595,14.6659,14.35653,2.52E+18,0.02523349,GALAXY,GALAXY
1.24E+18,194.9177911,27.96823285,18.22049,16.48762,15.66237,15.30458,14.99181,2.52E+18,0.02527304,GALAXY,GALAXY
1.24E+18,194.8555698,27.93448684,19.25179,17.57814,16.87133,16.55045,16.31589,2.52E+18,0.02531135,GALAXY,GALAXY
1.24E+18,195.1615013,28.01452647,17.20795,15.35862,14.664,14.19718,14.01497,2.52E+18,0.02535291,GALAXY,GALAXY
1.24E+18,195.0254351,27.97830067,16.67795,14.87184,14.17511,13.99519,13.80917,2.52E+18,0.0254602,GALAXY,GALAXY
1.24E+18,194.9656611,28.09852596,18.95726,17.13949,16.4085,16.02549,15.73754,2.52E+18,0.0255109,GALAXY,GALAXY
1.24E+18,195.1577534,28.0579667,16.54405,15.47385,14.99273,14.64802,14.30968,2.52E+18,0.02552748,GALAXY,GALAXY
1.24E+18,194.7750944,27.99669843,16.8838,14.98997,14.1752,13.76719,13.48373,2.52E+18,0.02557481,GALAXY,GALAXY
1.24E+18,194.9196975,28.1446092,20.03806,18.3702,17.66162,17.29202,17.06267,2.52E+18,0.02564753,GALAXY,GALAXY
1.24E+18,194.8555282,27.96792872,18.11848,16.25928,15.45271,15.0791,14.80128,2.52E+18,0.02570544,GALAXY,GALAXY
1.24E+18,194.9860468,27.93002486,17.51437,15.82068,15.05232,14.67835,14.39264,2.52E+18,0.02570705,GALAXY,GALAXY
1.24E+18,195.1182936,27.97239096,17.40042,15.5324,14.80393,14.43889,14.15676,2.52E+18,0.0257351,GALAXY,GALAXY
1.24E+18,194.8575725,28.18698129,18.89708,17.21086,16.48006,16.11527,15.84747,2.52E+18,0.02576436,GALAXY,GALAXY
1.24E+18,194.8777045,27.79142413,18.01882,16.34221,15.57619,15.21021,14.93046,2.52E+18,0.02591176,GALAXY,GALAXY
1.24E+18,194.8079891,28.07624331,16.50253,14.82917,14.09844,13.70953,13.45736,2.52E+18,0.0260466,GALAXY,GALAXY
1.24E+18,195.0772741,28.09715433,19.1459,17.3939,16.70113,16.34504,16.08402,2.52E+18,0.02608,GALAXY,GALAXY
1.24E+18,194.7878134,27.89755208,19.1016,17.57531,16.83116,16.45897,16.19928,2.52E+18,0.02615086,GALAXY,GALAXY
1.24E+18,195.0840399,27.843494,19.14049,17.58034,16.89627,16.54598,16.32455,2.52E+18,0.02624773,GALAXY,GALAXY
1.24E+18,194.9625034,27.83295091,18.80699,17.1495,16.40223,16.04786,15.77363,2.52E+18,0.02634456,GALAXY,GALAXY
1.24E+18,194.7662502,28.12369807,15.98393,14.01054,13.17058,12.74074,12.47249,2.52E+18,0.0264517,GALAXY,GALAXY
1.24E+18,195.1034258,27.92662172,18.66323,17.21554,16.5515,16.21543,15.95043,2.52E+18,0.02652961,GALAXY,GALAXY
1.24E+18,195.0236724,27.92646373,20.1095,18.31403,17.74396,17.43548,17.26918,2.52E+18,0.02653266,GALAXY,GALAXY
1.24E+18,194.9079504,27.90731902,17.22689,15.37539,14.55055,14.15343,13.8371,2.52E+18,0.02671096,GALAXY,GALAXY
1.24E+18,194.9152341,27.95390491,17.97512,16.24808,15.4799,15.11111,14.83044,2.52E+18,0.02678836,GALAXY,GALAXY
1.24E+18,194.7698945,28.05038518,18.70804,17.01582,16.29781,15.93935,15.66005,2.52E+18,0.0268922,GALAXY,GALAXY
1.24E+18,194.9421741,27.85722778,17.36058,15.60594,14.81971,14.45253,14.17544,2.52E+18,0.02698871,GALAXY,GALAXY
1.24E+18,195.055934,28.05328717,20.0486,18.07463,17.5831,17.29564,17.12518,2.52E+18,0.02716134,GALAXY,GALAXY
1.24E+18,194.9833789,28.03471481,16.6594,14.83168,14.01426,13.58994,13.26049,2.52E+18,0.02718822,GALAXY,GALAXY
1.24E+18,195.09223,28.04700665,16.97609,15.13813,14.37234,13.96629,13.67711,2.52E+18,0.02727107,GALAXY,GALAXY
1.24E+18,195.1390204,27.82424454,18.06081,16.42698,15.80813,15.49631,15.27099,2.52E+18,0.02734583,GALAXY,GALAXY
1.24E+18,194.9785977,27.79600037,18.48148,16.80994,16.07125,15.70707,15.45016,2.52E+18,0.02750633,GALAXY,GALAXY
1.24E+18,194.9339376,28.17631415,19.49845,17.79254,17.072,16.73707,16.47917,2.52E+18,0.02771238,GALAXY,GALAXY
1.24E+18,194.7502923,27.96747448,18.11086,16.35721,15.58996,15.21711,14.94421,2.52E+18,0.0277459,GALAXY,GALAXY
1.24E+18,194.9455543,27.9919122,20.02791,18.26144,17.57143,17.23907,17.04391,2.52E+18,0.0280615,GALAXY,GALAXY
1.24E+18,195.1784823,27.96308318,17.29992,15.47424,14.7196,14.33296,14.03992,2.52E+18,0.02809328,GALAXY,GALAXY
1.24E+18,195.0746969,28.20239818,15.69563,13.82683,13.00685,12.59521,12.26838,2.52E+18,0.02844437,GALAXY,GALAXY
1.24E+18,195.1975195,27.92215657,17.61603,15.85735,15.08665,14.70226,14.42974,2.52E+18,0.02857454,GALAXY,GALAXY
1.24E+18,194.7912847,28.16449826,20.36849,18.16009,17.59629,17.29842,17.19918,2.52E+18,0.02867174,GALAXY,GALAXY
1.24E+18,195.1716357,28.04511955,19.76212,18.06282,17.33548,16.98442,16.70017,2.52E+18,0.02876968,GALAXY,GALAXY
1.24E+18,195.0335801,27.77331811,18.49705,17.1547,16.89772,16.72731,16.63543,2.52E+18,0.02892486,GALAXY,GALAXY
1.24E+18,194.7358682,27.82198462,18.60806,17.28269,16.65305,16.33567,16.12188,2.52E+18,0.02904657,GALAXY,GALAXY
1.24E+18,195.1434477,27.93469199,19.02162,17.39121,16.6987,16.42503,16.16378,2.52E+18,0.02923246,GALAXY,GALAXY
1.24E+18,194.6839628,28.04896315,20.03438,18.21066,17.55451,17.20229,16.9656,2.52E+18,0.0295911,GALAXY,GALAXY
1.24E+18,194.9838022,27.74631218,17.6224,16.48909,16.1708,16.00019,15.82999,2.52E+18,0.02975941,GALAXY,GALAXY
1.24E+18,194.9144886,27.85459842,18.26009,16.85169,16.19441,15.88418,15.78627,2.52E+18,0.03134233,GALAXY,GALAXY
1.24E+18,194.758627,28.11566496,16.50936,15.55708,15.1328,14.84731,14.65287,2.52E+18,0.03141021,GALAXY,GALAXY
1.24E+18,194.9449075,27.97384478,17.30043,15.44855,14.63608,14.25164,13.96175,2.52E+18,0.03141962,GALAXY,GALAXY
1.24E+18,194.8341796,28.1979236,17.90968,16.23833,15.47786,15.09727,14.81795,2.52E+18,0.03156341,GALAXY,GALAXY
1.24E+18,194.9428307,27.74624988,19.24563,17.85508,17.5057,17.36007,17.22861,2.52E+18,0.03240589,GALAXY,GALAXY
1.24E+18,194.9587694,27.92483558,18.3735,16.70605,15.92632,15.55098,15.26732,2.52E+18,0.03279741,GALAXY,GALAXY
1.24E+18,195.0426533,27.86394849,18.18785,16.52403,15.93723,15.6403,15.40643,2.52E+18,0.03311475,GALAXY,GALAXY
1.24E+18,195.0764268,28.05928791,19.60471,18.03475,17.45122,17.15465,17.01253,2.52E+18,0.03324928,GALAXY,GALAXY
