objid,ra,dec,u,g,r,i,z,veldisp,PetroRad_r,specobjid,redshift,deVRad_r,fracDev_r,expRad_r,SNoise,ptype,sclass
1.24E+18,194.3316435,27.61378509,19.04628,17.56977,16.99364,16.73182,16.51716,22.25578,6.829028,2.52E+18,0.02589621,9.259653,0.3318343,4.029244,16.23443,GALAXY,GALAXY
1.24E+18,195.1049153,27.55226013,18.66869,17.14599,16.44295,16.07901,15.81751,22.4159,7.010466,2.52E+18,0.0242378,8.466953,0.2027497,3.745482,27.09411,GALAXY,GALAXY
1.24E+18,194.6734414,28.18549134,19.49325,17.80676,17.12463,16.75904,16.49357,23.32345,9.944489,2.52E+18,0.02682729,12.32157,0.2524145,4.403609,12.59941,GALAXY,GALAXY
1.24E+18,194.7039191,28.53999796,19.46698,17.87663,17.19435,16.87058,16.65497,23.37307,7.247965,2.26E+18,0.02096941,9.889421,0.09077734,3.731968,11.61375,GALAXY,GALAXY
1.24E+18,195.5180836,27.69954991,19.07482,17.52224,16.84757,16.53136,16.3221,23.65266,5.876401,2.52E+18,0.02337415,4.969039,0.5836504,2.464261,18.04814,GALAXY,GALAXY
1.24E+18,194.7785252,27.77245489,18.92367,17.22174,16.48382,16.10402,15.89487,24.01356,8.723175,2.52E+18,0.02083039,4.284105,1,2.212879,27.48827,GALAXY,GALAXY
1.24E+18,195.430341,28.29778659,19.7094,18.1617,17.49367,17.16933,16.90554,24.45341,4.399308,2.52E+18,0.02565928,4.307901,0.3815649,2.124133,18.80157,GALAXY,GALAXY
1.24E+18,195.4128669,28.24587681,18.63139,17.19608,16.56249,16.26174,16.03108,24.49751,7.640691,2.52E+18,0.02533837,7.82952,0.5914255,3.190449,19.79134,GALAXY,GALAXY
1.24E+18,194.8124345,28.25101794,17.67911,16.33323,16.05257,15.85681,15.7491,24.54268,12.44779,2.52E+18,0.02480188,14.98179,0.4450624,5.530771,14.89551,GALAXY,GALAXY
1.24E+18,194.5725217,28.04007974,19.28084,17.61971,16.92653,16.55096,16.29012,24.92111,6.195915,2.52E+18,0.02065441,5.123668,0.3554375,2.38821,19.55604,GALAXY,GALAXY
1.24E+18,194.5119405,27.97834977,19.35923,17.83108,17.14314,16.77095,16.51679,25.04011,5.570383,2.52E+18,0.02190111,5.995058,0.3508958,2.888754,17.9954,GALAXY,GALAXY
1.24E+18,194.5987624,28.32880566,21.9301,17.61975,16.85174,16.48771,18.90207,25.65016,5.602068,2.52E+18,0.02729973,5.097304,0.2519685,2.292458,22.76644,GALAXY,GALAXY
1.24E+18,195.8801404,28.09230542,18.32149,16.5535,15.81516,15.46568,15.19782,25.82443,9.041073,2.52E+18,0.02111703,12.65381,0,5.705654,22.12578,GALAXY,GALAXY
1.24E+18,194.4018511,28.07704283,18.36918,16.561,15.8541,15.494,15.23847,26.67253,10.51897,2.52E+18,0.0224864,11.12138,0.3344311,4.755255,23.57872,GALAXY,GALAXY
1.24E+18,195.0568108,27.86717683,18.51865,16.85977,16.13733,15.77353,15.54597,26.71401,11.81533,2.52E+18,0.02468401,9.405168,0.6658874,3.830489,18.18636,GALAXY,GALAXY
1.24E+18,194.5486074,27.54248251,19.33944,17.9579,17.19136,16.87217,16.55578,26.72335,9.264271,2.52E+18,0.02374899,11.14962,0.3548573,3.895799,7.332284,GALAXY,GALAXY
1.24E+18,194.6697168,27.82691723,18.70497,17.04625,16.3294,15.97721,15.74038,27.17837,7.080339,2.52E+18,0.02057693,7.039763,0.471293,3.281638,21.1859,GALAXY,GALAXY
1.24E+18,195.031143,27.95806953,19.76677,17.47298,17.06999,16.51571,16.44822,27.37842,8.14689,2.52E+18,0.02071731,9.742112,0.6072502,2.90793,10.02027,GALAXY,GALAXY
1.24E+18,194.5243034,28.37095845,17.81038,16.34261,15.69176,15.37846,15.12852,27.42974,11.11682,2.52E+18,0.02544974,11.20793,0.5333048,4.799582,23.34821,GALAXY,GALAXY
1.24E+18,194.4573531,28.62425934,18.71976,17.5621,17.16347,17.00517,16.89275,27.43783,5.788711,2.52E+18,0.02499963,4.380173,0.849159,2.30155,14.86873,GALAXY,GALAXY
1.24E+18,195.3332921,27.96101565,19.77022,18.24939,17.586,17.2477,16.98318,27.7783,5.96114,2.52E+18,0.02626503,5.144173,0.3634394,2.42956,12.7046,GALAXY,GALAXY
1.24E+18,195.4055217,28.01576848,19.32855,17.78703,17.04533,16.69801,16.40376,28.19921,5.679163,2.52E+18,0.02383511,4.543419,0.5405124,2.343844,16.62035,GALAXY,GALAXY
1.24E+18,194.7006414,28.01872704,19.29011,17.6292,16.93997,16.61089,16.35446,28.45208,8.779418,2.52E+18,0.02361731,8.067748,0.6053935,3.701096,11.07505,GALAXY,GALAXY
1.24E+18,194.7878134,27.89755208,19.1016,17.57531,16.83116,16.45897,16.19928,28.57687,6.99578,2.52E+18,0.02615086,4.594318,0.8339236,2.111867,17.61508,GALAXY,GALAXY
1.24E+18,194.2676665,27.73004013,18.4967,16.74557,16.0749,15.77866,15.5374,28.61632,11.44229,2.52E+18,0.02963925,15.08277,0.1224109,5.236599,17.26238,GALAXY,GALAXY
1.24E+18,195.3304945,27.86045564,18.7363,17.43574,17.01504,16.78968,16.63726,28.92341,7.045036,2.52E+18,0.02741085,6.022987,0.3316903,2.598577,16.84895,GALAXY,GALAXY
1.24E+18,195.1891037,27.8354893,19.19542,17.6108,16.90508,16.56379,16.33274,31.88723,6.159337,2.52E+18,0.02927293,7.083865,0.2152576,3.110505,23.22199,GALAXY,GALAXY
1.24E+18,195.1827948,28.41633267,18.42279,16.83887,16.10275,15.74735,15.50617,32.68042,6.264385,2.26E+18,0.02092743,4.253963,0.6125787,2.367173,24.62088,GALAXY,GALAXY
1.24E+18,195.0995841,27.28692666,19.80734,18.47918,17.79446,17.53214,17.39216,33.44369,8.593013,2.52E+18,0.0242417,11.76767,0.1795697,4.08899,7.486646,GALAXY,GALAXY
1.24E+18,195.0040405,27.94543132,19.01552,17.56509,16.87678,16.55435,16.334,33.52632,7.260259,2.52E+18,0.02281969,4.386122,0.751452,2.036183,20.75353,GALAXY,GALAXY
1.24E+18,194.9838022,27.74631218,17.6224,16.48909,16.1708,16.00019,15.82999,33.90757,6.921214,2.52E+18,0.02975941,7.757606,0.6009485,3.780724,24.16709,GALAXY,GALAXY
1.24E+18,194.9339376,28.17631415,19.49845,17.79254,17.072,16.73707,16.47917,34.03234,4.427566,2.52E+18,0.02771238,2.646996,0.6342514,1.543325,19.03188,GALAXY,GALAXY
1.24E+18,194.7698945,28.05038518,18.70804,17.01582,16.29781,15.93935,15.66005,34.36002,7.901749,2.52E+18,0.0268922,7.938399,0.5169849,3.597808,23.61245,GALAXY,GALAXY
1.24E+18,194.0594169,27.81558393,19.7456,18.11351,17.40296,17.06943,16.83956,36.54992,4.159337,2.52E+18,0.02222386,3.469314,0.3365761,2.245038,24.42548,GALAXY,GALAXY
1.24E+18,194.5284427,27.57687564,18.76679,17.07644,16.34315,15.99637,15.72285,36.81182,9.519814,2.52E+18,0.02500718,12.00939,0.1626778,4.536672,20.4702,GALAXY,GALAXY
1.24E+18,194.1600139,28.10627365,18.55842,16.98203,16.30822,15.99721,15.79377,37.00098,11.41721,2.52E+18,0.02160236,9.995241,0.4707128,3.827322,14.91249,GALAXY,GALAXY
1.24E+18,195.2947099,27.24649845,18.15176,16.563,15.89265,15.60102,15.29088,37.50509,14.09499,2.52E+18,0.02061296,13.86744,0.4358348,5.4453,12.97544,GALAXY,GALAXY
1.24E+18,195.1257885,28.16004747,19.87155,18.03459,17.37386,17.01571,16.80554,37.80833,7.332738,2.52E+18,0.02358335,7.942567,0.2711634,3.321215,12.10617,GALAXY,GALAXY
1.24E+18,194.8268716,27.51351055,18.14171,16.77198,16.10956,15.7847,15.55572,37.94191,12.98048,2.52E+18,0.02015118,15.00256,0.5870179,6.256463,15.09408,GALAXY,GALAXY
1.24E+18,194.7401012,27.78542638,17.76554,16.17741,15.49055,15.12093,14.87915,37.97557,9.122785,2.52E+18,0.02314709,9.345555,0.5292591,4.739731,32.12098,GALAXY,GALAXY
1.24E+18,194.4679571,27.7396343,19.7889,18.07487,17.37407,16.99744,16.84629,38.05396,5.877855,2.52E+18,0.02310237,4.802572,0.4440199,2.240078,13.49548,GALAXY,GALAXY
1.24E+18,194.9455543,27.9919122,20.02791,18.26144,17.57143,17.23907,17.04391,38.13413,6.214641,2.52E+18,0.0280615,6.37444,0.1663747,2.776629,11.13927,GALAXY,GALAXY
1.24E+18,194.7856423,28.7282236,18.54282,17.04937,16.37864,16.06516,15.87901,38.20711,11.35398,2.26E+18,0.02366714,17.77696,0.1132649,6.911963,12.95014,GALAXY,GALAXY
1.24E+18,194.8109201,27.89559072,19.77842,18.08449,17.31917,16.94157,16.65337,38.26342,3.071394,2.52E+18,0.02137562,1.815053,0.5650207,1.227087,25.07571,GALAXY,GALAXY
1.24E+18,194.8555698,27.93448684,19.25179,17.57814,16.87133,16.55045,16.31589,38.33415,4.345008,2.52E+18,0.02531135,2.307695,0.8632917,1.496757,25.1674,GALAXY,GALAXY
1.24E+18,194.3672636,27.70076615,19.43895,17.71634,17.01327,16.66235,16.44876,38.35848,6.740348,2.52E+18,0.02155076,6.853213,0.3511764,3.043104,21.00253,GALAXY,GALAXY
